pt_graph coeff
66 0.75
66 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
67 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
68 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
69 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
70 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
71 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
72 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
73 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
74 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
75 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
76 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
77 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
78 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
79 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
80 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
81 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
85 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
86 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
87 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
88 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
89 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
90 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
91 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
92 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
93 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
94 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
95 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
96 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
97 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
98 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
99 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
100 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
101 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
102 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
103 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
104 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
105 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
106 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
107 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
108 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
109 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
110 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
111 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
112 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
113 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
114 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
115 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
116 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
117 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
118 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
119 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
121 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
122 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
123 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
124 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
125 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
126 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
127 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
128 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
129 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
130 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
131 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
132 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
133 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
134 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
135 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
136 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
137 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
138 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
139 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
140 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
141 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
142 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
143 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
144 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
145 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
146 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
147 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
148 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
149 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
150 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
151 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
152 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
153 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
154 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
155 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
156 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
157 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
158 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
159 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
160 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
161 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
162 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
163 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
164 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
165 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
166 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
167 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
168 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
169 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
170 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
171 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
172 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
173 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
174 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
175 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
176 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
177 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
178 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
179 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
180 0.75
181 0.75
181 0.75
181 0.75
181 0.75
181 0.75
181 0.75
